#OTU ID	ESSE.222.0338
k__Bacteria;p__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii	0.000200
k__Bacteria;p__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris	0.000050
k__Bacteria;p__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella vaginalis	0.000154
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium aurimucosum	0.000812
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium durum	0.000067
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium genitalium	0.000148
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium jeddahense	0.000076
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium kefirresidentii	0.009301
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium macginleyi	0.000095
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium pseudogenitalium	0.000061
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium sanguinis	0.000250
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium singulare	0.000116
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium ureicelerivorans	0.000608
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium urinapleomorphum	0.000112
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__unknown	0.000175
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia sputi	0.000093
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium obuense	0.000054
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__unknown;g__Lawsonella;s__Lawsonella clevelandensis	0.004404
k__Bacteria;p__Actinobacteria;o__Micrococcales;f__Dermacoccaceae;g__Dermacoccus;s__Dermacoccus nishinomiyaensis	0.000417
k__Bacteria;p__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;s__Kocuria indica	0.000267
k__Bacteria;p__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus	0.000150
k__Bacteria;p__Actinobacteria;o__Nakamurellales;f__Nakamurellaceae;g__Nakamurella;s__Nakamurella multipartita	0.000074
k__Bacteria;p__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	0.873127
k__Bacteria;p__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum	0.000160
k__Bacteria;p__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium granulosum	0.022708
k__Bacteria;p__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__[Propionibacterium] namnetense	0.001680
k__Bacteria;p__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia ammonioxydans	0.000218
k__Bacteria;p__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora;s__Saccharopolyspora dendranthemae	0.002189
k__Bacteria;p__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Sciscionella;s__Sciscionella marina	0.000257
k__Bacteria;p__Firmicutes;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis	0.002861
k__Bacteria;p__Firmicutes;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	0.016525
k__Bacteria;p__Firmicutes;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus acidophilus	0.000490
k__Bacteria;p__Firmicutes;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus rhamnosus	0.000074
k__Bacteria;p__Firmicutes;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	0.000115
k__Bacteria;p__Firmicutes;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis	0.000270
k__Bacteria;p__Firmicutes;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis	0.000082
k__Bacteria;p__Firmicutes;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna	0.000059
k__Bacteria;p__Proteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__Lautropia mirabilis	0.000147
k__Bacteria;p__Proteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria sicca	0.000096
k__Bacteria;p__Proteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__unknown	0.000077
k__Bacteria;p__Proteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas campestris	0.000107
k__Eukaryota;p__Ascomycota;o__Dothideales;f__Saccotheciaceae;g__Aureobasidium;s__Aureobasidium melanogenum	0.000196
k__Eukaryota;p__Ascomycota;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus glaucus	0.000231
k__Eukaryota;p__Ascomycota;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus versicolor	0.000097
k__Eukaryota;p__Ascomycota;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__unknown	0.001143
k__Eukaryota;p__Ascomycota;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum nigrum	0.000072
k__Eukaryota;p__Basidiomycota;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia dermatis	0.000083
k__Eukaryota;p__Basidiomycota;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia globosa	0.003691
k__Eukaryota;p__Basidiomycota;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia japonica	0.000141
k__Eukaryota;p__Basidiomycota;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia restricta	0.052336
k__Eukaryota;p__Basidiomycota;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia sp.	0.000105
k__Eukaryota;p__Basidiomycota;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula mucilaginosa	0.000224
k__Viruses;p__unknown;o__Caudovirales;f__Siphoviridae;g__Pahexavirus;s__Propionibacterium virus PHL082M03	0.002758
